Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,name_length,title,title_group,family_size,is_alone,ticket_group_size,cabin_score,name_word_count,Age_missing,Cabin_missing,log_Fare,log_fare_per_person,log_age_fare_ratio
1,1,female,35.0,1,0,S,47,Mrs,Mrs,2,0,2,9.173135754622429,7,False,False,4.51085950651685,3.828641396489095,0.3285040669720361
0,2,male,19.0,0,0,S,31,Mr,Mr,1,1,1,9.06472110964547,4,False,True,2.4423470353692043,2.4423470353692043,1.0330150061822965
0,2,male,34.0,0,0,S,28,Mr,Mr,1,1,1,2.131047040250833,4,False,True,2.6390573296152584,2.6390573296152584,1.285198244248522
1,3,female,4.0,0,2,S,35,Miss,Miss,3,0,1,1.1483682473920354,4,False,True,3.1365805821413706,3.1365805821413706,0.1668794426787894
1,2,female,21.0,0,0,S,17,Miss,Miss,1,1,1,3.922440450997323,3,False,True,2.4423470353692043,2.4423470353692043,1.0986122886681098
0,1,male,19.0,1,0,S,25,Mr,Mr,2,0,1,0.6420893707513409,4,False,False,3.9908341858524357,3.9908341858524357,0.30587711604301027
0,3,female,41.0,0,5,S,38,Mrs,Mrs,6,0,6,8.505817290942419,6,False,True,3.705920919968788,2.0301199863471253,0.709547391953951
0,3,male,30.0,1,0,S,24,Mr,Mr,2,0,2,7.43946292572677,4,False,True,2.8390784635086144,2.2027647577118348,1.0519936780121855
0,3,female,29.69911764705882,0,2,C,29,Mrs,Mrs,3,0,2,0.8692028808742369,4,True,True,2.7878344138303452,2.1544330519701873,0.0
0,2,male,57.0,0,0,Q,30,Rev,Other,1,1,1,8.512069140487688,4,False,True,2.5915163848462583,2.5915163848462583,1.7255100836868544
0,2,male,24.0,0,0,S,33,Mr,Mr,1,1,1,2.322126951468173,5,False,True,2.4423470353692043,2.4423470353692043,1.1895840668738364
0,3,male,61.0,0,0,S,25,Mr,Mr,1,1,1,9.148459010681,4,False,True,1.9792758428991135,1.9793449251415507,2.3776516665217238
1,3,female,38.0,1,5,S,57,Mrs,Mrs,7,0,4,9.44765729882428,8,False,True,3.4777725458882283,2.180078418501249,0.7932970115325764
0,3,male,21.0,0,0,S,30,Mr,Mr,1,1,1,3.351188542591419,4,False,True,2.2442459824059346,2.244214179667716,1.2499385319499488
1,1,male,49.0,1,0,C,24,Mr,Mr,2,0,2,3.8929561404197655,4,False,False,4.500966778400217,3.8188545305356816,0.4382020012842376
1,1,male,32.0,0,0,C,25,Dr,Other,1,1,1,6.780161525590636,3,False,False,3.449987545831587,3.449987545831587,0.7174398731289898
0,2,male,30.0,0,0,S,26,Mr,Mr,1,1,1,6.334782198261473,4,False,True,2.6390573296152584,2.6390573296152584,1.1962507582320256
0,3,female,29.69911764705882,3,1,S,18,Miss,Miss,5,0,4,1.4011317576645257,3,True,True,3.275887339030031,1.9970105677006766,0.0
0,3,male,17.0,0,0,S,19,Mr,Mr,1,1,1,4.866689414247029,3,False,True,2.2682524139135403,2.268200666132215,1.0860274178290303
0,2,male,52.0,0,0,S,26,Mr,Mr,1,1,1,7.704074178077932,4,False,True,2.6741486494265287,2.6741486494265287,1.5793604571968225
0,2,male,29.69911764705882,0,0,C,16,Mr,Mr,1,1,1,4.254364386164168,3,True,True,2.775708849576025,2.775708849576025,0.0
0,3,male,19.0,0,0,S,27,Mr,Mr,1,1,1,2.4317219099945406,4,False,True,2.1719067693519296,2.1719067693519296,1.2365551582685146
0,3,male,32.0,0,0,Q,19,Mr,Mr,1,1,1,1.6704190790094986,3,False,True,2.169053700369523,2.169053700369523,1.6349169977350853
0,3,male,29.69911764705882,0,0,C,23,Mr,Mr,1,1,1,8.496473906774115,4,True,True,2.1071782966514356,2.1071782966514356,0.0
1,3,male,44.0,0,0,S,25,Mr,Mr,1,1,1,4.252135044692334,4,False,True,2.188856327665703,2.188856327665703,1.8797780499988317
0,2,male,32.5,1,0,C,20,Mr,Mr,2,0,2,5.116774421156661,3,False,True,3.436268471383741,2.7747738331451184,0.7327441143727409
1,2,female,34.0,0,0,S,28,Mrs,Mrs,1,1,1,8.620426509893134,4,False,False,2.4423470353692043,2.4423470353692043,1.4441139320087168
0,3,male,29.69911764705882,0,0,C,17,Mr,Mr,1,1,1,6.960206180537922,3,True,True,2.1071782966514356,2.1071782966514356,0.0
1,3,female,29.69911764705882,2,0,Q,18,Miss,Miss,3,0,2,0.1309445658833363,3,True,True,3.188416617383492,2.5356789751614235,0.0
0,3,male,29.69911764705882,0,0,S,21,Mr,Mr,1,1,1,8.32134177957742,3,True,True,2.1855792552411137,2.1856017375082266,0.0
1,3,female,1.0,1,1,S,28,Miss,Miss,3,0,3,1.7088758739006582,4,False,True,2.495953738718064,1.549900199717904,0.08601312141997733
1,1,female,36.0,0,2,S,23,Miss,Miss,3,0,2,8.747016726841995,4,False,False,4.276666119016055,3.597312260588446,0.41014895742059077
1,1,female,35.0,0,0,C,16,Miss,Miss,1,1,3,3.4208174871590744,3,False,True,6.240917354759096,5.1461913024691075,0.06608306237594891
1,3,female,29.69911764705882,0,0,C,23,Mrs,Mrs,1,1,1,8.647223762550531,3,True,True,2.1071782966514356,2.1071782966514356,0.0
1,1,male,52.0,0,0,S,30,Major,Other,1,1,1,7.380336164263705,4,False,False,3.449987545831587,3.449987545831587,0.9950716097272693
1,1,female,30.0,0,0,S,20,Miss,Miss,1,1,3,8.767656367617494,3,False,False,4.471638793363569,3.395615163365922,0.2977468590679216
